Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1985,34.3,42.9,55.4,64,70.7,77.9,79.3,M,72.1,68.3,62.8,42.7,60.9
1986,40.7,47.4,53.3,63.5,71.9,79.9,84.6,77.8,74.6,65.2,56.5,46.6,63.5
1987,43,43.3,51.6,59.4,71.4,78.3,83.3,81,74.4,57.1,54.1,47.7,62.1
1988,37.8,44.2,52.4,58.9,68.2,76.5,81.6,82.4,73,57.3,53.9,44,60.9
1989,47.2,47.2,52.4,61,68,80.2,80.3,78.4,75.5,64.2,55.9,38.1,62.4
1990,50.3,53.1,56.1,61.4,69.3,76.7,81.4,80.3,74.4,66.3,55,50.5,64.6
1991,44,50.1,56.5,65.6,74.5,78.7,83.5,79.6,73.5,62.8,51,48.1,64
1992,45,49,53,61.9,65.6,74.9,84.6,77.5,74.3,M,M,45.5,63.1
1993,46.4,43,50.7,58.8,71.9,79.5,85.1,79.7,75.7,62.5,M,42.7,63.3
1994,39.4,45.7,55.8,66.6,67,79.2,81.5,77.7,71.3,61.3,57.7,49.5,62.7
1995,44.5,43.4,54.5,64.6,71.2,75.7,82.5,82.2,72.3,66.5,49.5,41.9,62.4
1996,41.8,46.1,49.5,61.6,72,79,81,77.5,74.5,64.7,50.4,49.6,62.3
1997,45,50,59.5,60.5,69.7,75.9,83.9,80.5,76,64.3,52.4,45.9,63.6
1998,49.3,50.9,55.2,64.3,74.7,83.1,82.1,80,76.1,63.4,54,49.2,65.2
1999,48.3,48.3,50.2,64.9,69.1,76.1,82.4,81.8,71.3,61.5,56.9,46,63.1
2000,40.2,49,56.3,60.7,73.9,79.2,78.5,M,72.3,62.2,49.5,37.8,60
2001,42.6,47.9,M,65.2,71,79.4,78.9,81.5,71.5,62,59.1,51.2,64.6
2002,46.8,M,M,69.6,72.6,82.3,85.7,82.6,74.8,64.8,M,M,72.4
2003,38.4,M,M,M,M,M,M,M,M,M,M,M,38.4
2004,M,M,M,M,M,M,M,M,M,M,M,M,M
2005,M,M,M,M,M,M,M,M,M,M,M,M,M
2006,M,M,M,M,M,M,M,M,M,M,M,M,M
2007,M,M,M,M,M,M,M,M,M,M,M,M,M
2008,M,M,M,M,M,M,M,M,M,M,M,M,M
2009,M,M,M,M,M,M,M,M,M,M,M,M,M
2010,M,M,M,M,M,M,M,M,M,M,M,M,M
2011,M,M,M,M,M,M,M,M,M,M,M,M,M
2012,M,M,M,M,M,M,M,M,M,M,M,M,M
2013,M,M,M,M,M,M,M,M,M,M,M,M,M
2014,M,M,M,M,M,M,M,M,M,M,M,M,M
2015,M,M,M,M,M,M,M,M,M,M,M,M,M
2016,M,M,M,M,M,M,M,M,M,M,M,M,M
2017,M,M,M,M,M,M,M,M,M,M,M,M,M
2018,M,M,M,M,M,M,M,M,M,M,M,M,M
2019,M,M,M,M,M,M,M,M,M,M,M,M,M
2020,M,M,M,M,M,M,M,M,M,M,M,M,M
2021,M,M,M,M,M,M,M,M,M,M,M,M,M
2022,M,M,M,M,M,M,M,M,M,M,M,M,M
