Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1969,36.7,37.9,40.2,55.9,62.5,71.1,74.4,70,65.6,57.7,44.3,36,54.4
1970,31.9,39.8,46.6,57.7,63.6,69,73,72.7,70.7,58,45.9,43.2,56
1971,37.5,39.1,43.4,54.8,60.7,71.4,71.8,71.6,68.9,61.8,45.5,47,56.1
1972,42.1,38.1,47.3,55.8,60.5,65,70.9,72,69.1,55.8,46,46.5,55.8
1973,38.4,38.7,52.6,53.1,60,70.8,73.3,72.2,69.7,59,50.3,40,56.5
1974,50.6,42.3,53.7,55.7,64.4,66.5,71.9,72.5,66.2,54.5,46.8,40.6,57.1
1975,44.3,44.9,46.2,55.6,66.5,69.6,72.6,73.2,66.3,60,49.6,39.7,57.4
1976,36.1,46.9,52.5,55.5,61.3,68.6,71.7,70.7,64.7,52.8,41.7,37.4,55
1977,27,38.5,51.1,58,64.5,70.6,74,73.2,69,54.4,50.1,38.6,55.8
1978,29.6,34.3,46.3,56.3,61.4,70.3,72.9,73.4,69.6,55,50.9,40.7,55.1
1979,34.9,36.4,49.2,55.1,63,67.2,70.7,71.5,66.2,55.9,48.8,41.3,55
1980,40.5,35.7,45.2,54.9,62.8,69.7,75.7,73.9,70,54.9,45.5,39.5,55.7
1981,33.1,39.4,43.5,59.8,59.9,72.8,73.9,69.8,64.4,53.8,46.2,36,54.4
1982,M,M,M,M,65.1,69.2,73.6,71,M,54.5,45.7,M,63.2
1983,33.7,36.6,45.8,50.2,60.2,68,74.8,74,65.9,55.6,46.9,M,55.6
1984,32.8,39.1,46,52.9,62.1,72.1,72.4,72.6,63.8,61.7,45.6,47.7,55.7
1985,31.3,40.8,50.8,58,64.6,69.6,72.3,71.4,65.5,61.3,55.9,34.6,56.3
1986,37,44.5,46.9,56.8,63.4,71.3,75.2,71.2,69,58.6,52.4,40.4,57.2
1987,37.6,40.2,47,53.7,66,70.6,74.3,74.4,66.7,51.1,49.3,41.5,56
1988,33.2,39.1,48.4,55.4,60.7,68.3,71.9,74.3,65.8,49.7,48.9,M,56
1989,M,M,M,M,59.8,69.1,72.8,71.7,67.1,57.3,48.5,34.8,60.1
1990,44.8,M,M,M,M,M,M,M,M,M,M,M,44.8
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,47.5,57,58.7,70.6,72.2,70.8,65.4,55.2,48.6,42.7,58.9
1995,36.3,35,49,54.5,63.8,67.3,73.4,74,65,56.1,M,M,57.4
1996,M,M,M,51.5,M,70,72.6,70.9,64.9,M,43.1,39.4,58.9
1997,M,42.4,M,M,M,66.1,71.9,68.8,65.2,55.1,M,36.2,58
1998,41.1,41.9,44.4,53.8,65.8,69.5,72.9,71.7,68.1,57.5,49.1,42.8,56.5
1999,39.8,41.4,42.3,57.5,60.9,68.2,72,70.6,63.9,56.1,50.1,40.6,55.3
2000,37.2,43,50,53.4,65.8,69.1,72.1,70.9,63.7,57,43.7,32.1,54.8
2001,36.4,43.8,44.2,57.7,62.4,68.8,70.6,71.6,61.6,51.6,48.9,42.4,55
2002,39.5,38.2,46.6,58.2,60.4,68.3,71.8,70.4,66.5,58.3,42.9,37.6,54.9
2003,33.2,38.5,48.7,55,62.7,67.4,70.2,71.9,63.9,54.9,51.5,36.3,54.5
2004,36.5,37.4,49.6,54.8,65.5,69.2,70.3,68.5,65.1,61.1,49.9,38.1,55.5
