Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1984,38,45.2,49.2,55.5,66,75.4,75.3,75.9,68.5,66.7,47.7,50.4,59.5
1985,35.4,42.9,54.1,61.6,67.8,75.3,76.3,74.6,69.3,63.4,58.1,38.9,59.8
1986,38.4,46.7,51.1,62.2,68,79.1,81.9,74.2,71.2,61.5,50.3,40.6,60.4
1987,38.4,40.7,49.8,57.1,69.7,75.7,79.5,79.6,71.1,53.7,52,43.5,59.2
1988,34,41.4,50.4,58.9,65,73.6,77.7,78.8,69,53.1,50.1,40.5,57.7
1989,44,43.8,51.9,58.2,63.3,74.6,75.9,74.9,70.4,60.1,49.8,34.4,58.4
1990,46.3,49.6,54.1,58.4,67,74.1,78.1,77.2,71.7,61.3,52,46.8,61.4
1991,41.1,46.1,52.7,60.9,70.4,74,78.8,75.4,69.9,60.3,48.8,45.8,60.4
1992,42.2,46.5,49.6,58.5,63.2,70.7,78.7,73.4,68,56.2,49.8,40.6,58.1
1993,43.2,40.8,46.9,55.9,66.8,75.8,81.6,76.8,72.3,59.2,48.6,39.7,59
1994,35.8,42.5,51.8,61.2,63.9,75.7,76.6,74.2,67.6,58.5,51.9,45.9,58.8
1995,40.2,40.5,52.4,60.7,66.8,72.2,77.8,78.3,68.7,59.9,46.1,38.7,58.5
1996,36.9,43.4,46.5,57.9,68.6,73.5,78.1,74.5,68.6,59.7,44.7,43.3,58
1997,40.5,46.1,55,55.3,63.1,70.4,77.6,75.1,70.7,58.8,45.5,39.6,58.1
1998,43.6,45.3,48.7,58.5,69.8,75.8,78.3,76.3,73.5,62,52.1,46.3,60.9
1999,44.4,44.8,47.1,61.5,65.2,72.3,77.8,M,68.8,59,54.1,43.3,58
2000,39.2,45.8,53.9,57.3,69.4,74.9,76,75.6,68.5,59.5,47.6,33.1,58.4
2001,39.2,47.9,47.9,61.2,67.2,73.9,74.7,77.1,67.2,56.5,54,46.8,59.5
2002,41.6,44,50.9,63.3,65.3,75.3,79.3,76.4,71.8,60.9,47.7,40.8,59.8
2003,37,42.6,53.6,57.8,65.8,72,75.5,76.8,68.7,58.7,54.8,39.7,58.6
2004,40,39.6,53.2,58.6,70.8,74.1,76.2,73.6,69,62.3,51.8,41.1,59.2
2005,43.6,44.1,48.5,58.4,63.9,72.8,77.9,77.7,73,61.5,51.2,38.8,59.3
2006,46.6,43.1,51,63,64.4,73.8,78,77.8,68.6,57,50.4,46.5,60
2007,43.4,39.3,56,58.1,66.1,74.4,75.7,81.6,73,64.4,49.2,46.3,60.6
2008,38.9,45.9,50.8,58.1,65.8,76.4,76,75.1,70.1,56.9,46.7,44.7,58.8
2009,38.5,43.6,50.2,58.6,67.1,75,75,76.7,69.9,58.3,52,38.5,58.6
2010,35.4,36.6,49.3,61.5,69.5,78,79.7,79,73.3,60.4,48.8,33.7,58.8
2011,35.7,45.8,51.5,63.3,68.2,76.1,79.6,77.1,70.2,57.7,51.7,46.7,60.3
2012,43.3,45.4,59.5,60.5,69.3,72.6,79.5,75.5,69.7,59.1,46.7,46.9,60.7
2013,44.7,41.7,45.2,58.8,65,74.4,76.4,74.3,70,60.4,46.5,45.3,58.6
2014,34.5,44.9,46.9,59.8,68.3,75.4,75.7,74.5,71.4,60.9,45.4,44.3,58.5
2015,39,36.5,52.9,61.1,69.6,77.3,79.8,76.9,70.9,59.1,53.9,53.2,60.9
2016,38,42.9,56.5,60.3,66.2,76.4,80,79.4,75,62.9,52.5,43.8,61.2
2017,45.4,50.9,51.9,63.5,67.9,73.7,78.7,75.8,70,62,49.8,42.7,61
2018,35.8,51.6,47.4,57.4,72,76.9,77.5,77.4,77.1,62.5,47.5,43.4,60.5
2019,41.9,49.1,49.3,62.5,71.7,74.5,79,77.2,77,65.9,47.4,45.9,61.8
2020,44.6,47.1,57.5,59,63.6,73.8,79.5,77.4,69.9,63,54.8,42.3,61
2021,41.1,42.9,54.7,59.1,66.2,74.7,78,78.1,70.5,64.5,48.1,51.6,60.8
2022,39.7,46.8,54.6,59.4,69.7,76.3,80.2,76.8,69.8,57.6,53.2,40.3,60.4
